Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
57106183,"Nie ma tego Złego (Drużyna do zadań specjalnych, #1)",Marcin Mortka,"Mortka, Marcin",,"=""838210178X""","=""9788382101782""",0,3.84,Wydawnictwo SQN,Paperback,394,2021,2021,,2024/02/16,currently-reading,currently-reading (#3),currently-reading,,,,1,0
57945316,Babel,R.F. Kuang,"Kuang, R.F.",,"=""0063021420""","=""9780063021426""",0,4.21,Harper Voyager,Hardcover,544,2022,2022,,2024/01/25,currently-reading,currently-reading (#2),currently-reading,,,,1,0
6202594,Dżuma,Albert Camus,"Camus, Albert",Joanna Guze,"=""""","=""""",4,4.02,Państwowy Instytut Wydawniczy,Paperback,199,1995,1947,2024/01/19,2022/08/17,,,read,,,,1,0
198971716,Siedem księżyców Maalego Almeidy,Shehan Karunatilaka,"Karunatilaka, Shehan",Mariusz Gądek,"=""8367790936""","=""9788367790932""",0,3.94,Marginesy,Paperback,472,2023,2022,,2024/01/19,to-read,to-read (#97),to-read,,,,0,0
183787353,Drugie imię. Septologia 1-2,Jon Fosse,"Fosse, Jon",Iwona Zimnicka,"=""8367515315""","=""9788367515313""",0,4.11,ArtRage,Paperback,292,2023,2019,,2024/01/12,to-read,to-read (#96),to-read,,,,0,0
14759643,Przeciw interpretacji i inne eseje,Susan Sontag,"Sontag, Susan","Małgorzata Pasicka, Anna Skucińska, Dariusz Żukowski","=""""","=""9788362376438""",0,4.15,Karakter,ebook,320,2012,1964,,2024/01/11,to-read,to-read (#95),to-read,,,,0,0
59661781,Oni,Kay Dick,"Dick, Kay",Dorota Konowrocka-Sawa,"=""839634020X""","=""9788396340207""",0,3.38,ArtRage ,Hardcover,116,2022,1977,,2024/01/11,to-read,to-read (#94),to-read,,,,0,0
198792128,Agla. Aurora,Radek Rak,"Rak, Radek",,"=""""","=""9788367845144""",5,4.37,Powergraph,Hardcover,784,2023,2023,2024/01/07,2023/09/11,,,read,,,,1,0
204373392,Historia polityczna Polski 1989–2023,Antoni Dudek,"Dudek, Antoni",,"=""8367450663""","=""9788367450669""",0,4.53,Wydawnictwo Naukowe Scholar,Hardcover,783,2023,,,2024/01/06,currently-reading,currently-reading (#1),currently-reading,,,,1,0
61091128,Żywot i śmierć pana Hersha Libkina z Sacramento w stanie Kalifornia,Ishbel Szatrawska,"Szatrawska, Ishbel",,"=""836712104X""","=""9788367121040""",0,4.40,Cyranka,Paperback,203,2022,2022,,2023/02/08,to-read,to-read (#93),to-read,,,,0,0
60194162,Demon Copperhead,Barbara Kingsolver,"Kingsolver, Barbara",,"=""""","=""""",5,4.52,Harper,Hardcover,560,2022,2022,2024/01/04,2023/12/14,,,read,,,,1,0
43687471,Sprawa Hoffmanowej,Katarzyna Zyskowska,"Zyskowska, Katarzyna",Katarzyna Zyskowska-Ignaciak,"=""8324048227""","=""9788324048229""",0,3.85,Społeczny Instytut Wydawniczy Znak,Paperback,416,2019,2019,,2024/01/02,to-read,to-read (#92),to-read,,,,0,0
17161472,Pułapki myślenia. O myśleniu szybkim i wolnym,Daniel Kahneman,"Kahneman, Daniel",Piotr Szymczak,"=""8372786771""","=""9788372786777""",0,4.18,Wydawnictwo Media Rodzina,Paperback,667,2012,2011,,2023/11/09,"home-library, bought-in-2023, waiting-to-be-read","home-library (#221), bought-in-2023 (#21), waiting-to-be-read (#42)",waiting-to-be-read,,,,0,0
60805066,Agla. Alef,Radek Rak,"Rak, Radek",,"=""8366178706""","=""9788366178700""",5,4.25,Powergraph,Hardcover,640,2022,2022,2022/12/31,2022/07/03,"bought-in-2022, home-library","bought-in-2022 (#27), home-library (#157)",read,,,,2,0
49695371,Instytut,Stephen King,"King, Stephen",Rafał Lisowski,"=""838125731X""","=""9788381257312""",4,4.20,Albatros,Paperback,672,2019,2019,2023/12/11,2023/12/08,,,read,,,,1,0
75675350,Ptaki i inne opowiadania,Daphne du Maurier,"Maurier, Daphne du",Marek Cegieła,"=""8367512839""","=""9788367512831""",5,4.05,Albatros,Hardcover,304,2023,1952,2023/12/08,2023/11/21,,,read,,,,1,0
55844617,Piranesi,Susanna Clarke,"Clarke, Susanna",Wojciech Szypuła,"=""8366409295""","=""9788366409293""",0,4.23,MAG,Hardcover,224,2020,2020,,2023/11/25,to-read,to-read (#91),to-read,,,,0,0
57115702,Greenglass House. Tom 2. Duchy hotelu Greenglass House,Kate Milford,"Milford, Kate",,"=""8381411203""","=""9788381411202""",0,4.11,Dwukropek,Hardcover,480,2020,2017,,2023/11/23,to-read-with-kids,to-read-with-kids (#34),to-read-with-kids,,,,0,0
38719479,"Miejsce i imię (Jakub Kania, #2)",Maciej Siembieda,"Siembieda, Maciej",,"=""8380322363""","=""9788380322363""",3,4.18,Wielka Litera,Paperback,488,2018,2017,2023/11/21,2023/11/20,,,read,,,,1,0
198792520,"Aveline Jones i duch z Malmouth (Aveline Jones, #1)",Phil Hickes,"Hickes, Phil",,"=""""","=""9788383215419""",4,4.15,Świetlik,Paperback,224,2023,2020,2023/11/18,2023/09/11,,,read,,,,1,0
34843515,"444 (Jakub Kania, #1)",Maciej Siembieda,"Siembieda, Maciej",,"=""""","=""9788380321632""",4,3.61,Wielka Litera,ebook,,2017,2017,2023/11/20,2023/11/18,,,read,,,,1,0
4459701,Kroniki portowe,Annie Proulx,"Proulx, Annie",Paweł Kruk,"=""8373011862""","=""9788373011861""",4,3.88,Dom Wydawniczy Rebis,Paperback,336,2002,1993,2023/11/17,2022/07/26,,,read,,,,1,0
49605810,"Przewodnik po zbrodni według grzecznej dziewczynki (Przewodnik po zbrodni według grzecznej dziewczynki, #1)",Holly  Jackson,"Jackson, Holly",Ernest Kacperski,"=""8381541956""","=""9788381541954""",4,4.33,Zielona Sowa,Paperback,446,2019,2019,2023/11/15,2023/01/01,,,read,,,,1,0
60617176,Rozważna i romantyczna,Jane Austen,"Austen, Jane",,"=""""","=""""",0,4.08,Świat Książki,Paperback,350,2020,1811,2020/05/01,2022/07/21,home-library,home-library (#47),read,,,,1,0
8828827,Łuk Triumfalny,Erich Maria Remarque,"Remarque, Erich Maria",Ryszard Wojnakowski,"=""""","=""""",5,4.42,Dom Wydawniczy Rebis,Hardcover,496,2011,1945,2023/11/12,2023/11/04,,,read,,,,1,0
53193563,Kotolotki,Ursula K. Le Guin,"Guin, Ursula K. Le",S.D. Schindler,"=""8381693004""","=""9788381693004""",5,4.26,Prószyński,Hardcover,192,2020,2003,2023/11/12,2023/10/30,"bought-in-2023, home-library","bought-in-2023 (#14), home-library (#214)",read,,,,1,0
59021342,Akademia Pana Kleksa,Jan Brzechwa,"Brzechwa, Jan",,"=""8372722544""","=""9788372722546""",5,3.69,G&P Oficyna Wydawnicza,Paperback,120,2015,1946,2023/11/12,2023/11/11,,,read,,,,1,0
55289532,Finansowa Forteca,Marcin Iwuć,"Iwuć, Marcin",,"=""8395846800""","=""9788395846809""",0,4.75,FBO Marcin Iwuć,Hardcover,800,2020,2020,,2023/11/11,to-read,to-read (#90),to-read,,,,0,0
28118775,Na Zachodzie bez zmian,Erich Maria Remarque,"Remarque, Erich Maria",Ryszard Wojnakowski,"=""""","=""9788378182870""",5,4.07,Dom Wydawniczy Rebis,ebook,192,2014,1928,2023/09/15,2023/09/15,"bought-in-2023, home-library","bought-in-2023 (#23), home-library (#223)",read,,,,1,0
